*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	
A1	4002	5200	5008	5528	4634	4206	3919	3212	2257	1490	1247	1102	1059	1021	991	958	853	895	858	796	747	688	626	576	505	454	412	345	302	267	227	197	166	137	117	101	84	72	61	49	41	34	28	23	21	16	14	12	7	8	4	5	5	0	0	0	
A2	4101	5515	4891	4649	3851	3479	3202	2729	1978	1342	1174	1082	1020	994	1009	975	870	930	901	831	790	718	666	595	528	474	432	362	315	269	236	200	171	147	126	114	90	75	61	53	43	39	29	27	21	22	15	12	10	11	8	5	5	7	13	29	
A3	3154	4735	4370	4209	3628	3405	3216	2752	2007	1329	1155	1043	977	935	913	898	794	824	801	741	691	638	576	518	456	406	359	319	266	228	203	174	142	123	109	87	74	62	54	45	37	32	26	19	19	16	12	13	10	8	8	5	6	0	13	0	
A4	2439	3469	3189	3197	2741	2447	2207	1836	1299	875	759	679	651	605	622	606	535	572	545	518	477	434	410	358	320	285	254	220	185	171	139	120	103	88	74	58	55	47	38	32	29	22	17	13	13	11	9	6	7	7	4	5	5	7	13	29	
A5	2916	4188	3830	3877	3274	2854	2652	2115	1528	1032	878	795	767	727	738	727	641	669	659	611	576	527	470	422	377	340	307	251	222	194	171	139	122	104	87	75	64	56	49	37	34	29	23	19	16	14	9	9	3	8	4	5	6	7	13	30	
A6	2547	3771	3590	3974	3375	2979	2708	2168	1510	993	853	771	741	697	701	693	618	650	645	595	552	503	455	410	370	320	293	239	212	183	161	133	114	99	83	70	56	47	41	37	27	26	20	17	17	11	12	10	7	8	9	5	5	7	13	29	
A7	3095	4676	4148	4302	3585	3154	2792	2209	1569	1051	917	870	828	803	793	768	692	722	709	665	606	559	512	450	400	356	325	268	238	206	168	149	122	109	95	74	61	53	41	39	33	32	26	19	18	13	9	10	7	8	4	5	6	7	13	29	
A8	2418	3549	3222	3121	2577	2214	1961	1588	1107	752	659	602	570	560	552	545	482	509	506	477	440	400	361	328	295	257	239	188	174	146	129	108	91	78	62	57	45	40	33	30	23	19	17	16	11	11	9	6	7	7	8	5	5	7	13	29	
A9	3047	4621	4265	4164	3549	3138	2848	2365	1705	1186	1001	919	901	839	848	814	716	757	730	668	633	571	522	475	410	374	340	279	250	219	188	156	130	111	95	81	66	61	49	41	35	29	26	21	16	14	12	12	10	7	8	5	11	7	13	29	
A10	2704	4239	3873	3820	3274	2919	2647	2216	1583	1078	935	838	789	760	747	732	645	688	669	620	585	533	490	434	386	343	322	268	253	214	178	156	125	107	93	78	63	57	44	38	32	25	23	16	18	14	11	9	10	8	8	9	11	7	13	29	
